point1_idx,point1_name,point1_source,point1_lat,point1_lon,point2_idx,point2_name,point2_source,point2_lat,point2_lon,distance_m
0,서천군 서면 오력도해역 - 날개부를가진어초 (2024년),jeolla_points.gpx,36.171977,126.437197,1717,서천군 서면 오력도해역 - 날개부를가진어초 (2024년),chungnam_points.gpx,36.171977,126.437197,0.0
1,서천군 서면 오력도해역 - 날개부를가진어초 (2024년),jeolla_points.gpx,36.172128,126.435598,1718,서천군 서면 오력도해역 - 날개부를가진어초 (2024년),chungnam_points.gpx,36.172128,126.435598,0.0
2,서천군 비인면 오력도해역 - 신요철형어초 (2023년),jeolla_points.gpx,36.17395,126.435533,1728,서천군 비인면 오력도해역 - 신요철형어초 (2023년),chungnam_points.gpx,36.17395,126.435533,0.0
3,서천군 비인면 오력도해역 - 신요철형어초 (2023년),jeolla_points.gpx,36.174,126.43775,1729,서천군 비인면 오력도해역 - 신요철형어초 (2023년),chungnam_points.gpx,36.174,126.43775,0.0
4,서천군 서면 오력도해역 - 방사형인공어초 (2022년),jeolla_points.gpx,36.120633,126.457667,8,서천군 서면 오력도해역 - 사단경사형어초 (2021년),jeolla_points.gpx,36.120633,126.457667,0.0
4,서천군 서면 오력도해역 - 방사형인공어초 (2022년),jeolla_points.gpx,36.120633,126.457667,1736,서천군 서면 오력도해역 - 방사형인공어초 (2022년),chungnam_points.gpx,36.120633,126.457667,0.0
4,서천군 서면 오력도해역 - 방사형인공어초 (2022년),jeolla_points.gpx,36.120633,126.457667,1749,서천군 서면 오력도해역 - 사단경사형어초 (2021년),chungnam_points.gpx,36.120633,126.457667,0.0
5,서천군 서면 오력도해역 - 방사형인공어초 (2022년),jeolla_points.gpx,36.121533,126.464333,1737,서천군 서면 오력도해역 - 방사형인공어초 (2022년),chungnam_points.gpx,36.121533,126.464333,0.0
6,보령시 오천면 외연도해역 - 팔각별강제어초 (2021년),jeolla_points.gpx,36.185,126.01585,1743,보령시 오천면 외연도해역 - 팔각별강제어초 (2021년),chungnam_points.gpx,36.185,126.01585,0.0
7,보령시 오천면 외연도해역 - 팔각별강제어초 (2021년),jeolla_points.gpx,36.184783,126.01575,1744,보령시 오천면 외연도해역 - 팔각별강제어초 (2021년),chungnam_points.gpx,36.184783,126.01575,0.0
8,서천군 서면 오력도해역 - 사단경사형어초 (2021년),jeolla_points.gpx,36.120633,126.457667,1736,서천군 서면 오력도해역 - 방사형인공어초 (2022년),chungnam_points.gpx,36.120633,126.457667,0.0
8,서천군 서면 오력도해역 - 사단경사형어초 (2021년),jeolla_points.gpx,36.120633,126.457667,1749,서천군 서면 오력도해역 - 사단경사형어초 (2021년),chungnam_points.gpx,36.120633,126.457667,0.0
9,서천군 서면 오력도해역 - 테트라형인공어초 (2020년),jeolla_points.gpx,36.120633,126.44655,1765,서천군 서면 오력도해역 - 테트라형인공어초 (2020년),chungnam_points.gpx,36.120633,126.44655,0.0
10,서천군 서면 오력도해역 - 테트라형인공어초 (2020년),jeolla_points.gpx,36.120633,126.448783,1766,서천군 서면 오력도해역 - 테트라형인공어초 (2020년),chungnam_points.gpx,36.120633,126.448783,0.0
11,서천군 서면 오력도해역 - 방사형인공어초 (2019년),jeolla_points.gpx,36.121283,126.449017,1779,서천군 서면 오력도해역 - 방사형인공어초 (2019년),chungnam_points.gpx,36.121283,126.449017,0.0
12,서천군 서면 오력도해역 - 방사형인공어초 (2019년),jeolla_points.gpx,36.121667,126.450733,1780,서천군 서면 오력도해역 - 방사형인공어초 (2019년),chungnam_points.gpx,36.121667,126.450733,0.0
13,서천군 서면 마량해역 - 텐트형어초 (2018년),jeolla_points.gpx,36.121533,126.444333,1791,서천군 서면 마량해역 - 텐트형어초 (2018년),chungnam_points.gpx,36.121533,126.444333,0.0
14,서천군 서면 마량해역 - 텐트형어초 (2018년),jeolla_points.gpx,36.120633,126.444333,1792,서천군 서면 마량해역 - 텐트형어초 (2018년),chungnam_points.gpx,36.120633,126.444333,0.0
15,서천군 서면 마량해역 - 텐트형어초 (2018년),jeolla_points.gpx,36.121533,126.44655,1793,서천군 서면 마량해역 - 텐트형어초 (2018년),chungnam_points.gpx,36.121533,126.44655,0.0
16,보령시 웅천읍 석대도해역 - 원통2단강제어초 (2017년),jeolla_points.gpx,36.1959,126.02035,1803,보령시 웅천읍 석대도해역 - 원통2단강제어초 (2017년),chungnam_points.gpx,36.1959,126.02035,0.0
17,보령시 웅천읍 석대도해역 - 원통2단강제어초 (2017년),jeolla_points.gpx,36.19225,126.0202,1804,보령시 웅천읍 석대도해역 - 원통2단강제어초 (2017년),chungnam_points.gpx,36.19225,126.0202,0.0
18,보령시 웅천읍 석대도해역 - 원통2단강제어초 (2017년),jeolla_points.gpx,36.1887,126.020367,1805,보령시 웅천읍 석대도해역 - 원통2단강제어초 (2017년),chungnam_points.gpx,36.1887,126.020367,0.0
19,보령시 웅천읍 석대도해역 - 원통2단강제어초 (2017년),jeolla_points.gpx,36.184967,126.02045,1806,보령시 웅천읍 석대도해역 - 원통2단강제어초 (2017년),chungnam_points.gpx,36.184967,126.02045,0.0
20,서천군 서면 마량해역 - 터널형어초 (2017년),jeolla_points.gpx,36.121567,126.442067,1817,서천군 서면 마량해역 - 터널형어초 (2017년),chungnam_points.gpx,36.121567,126.442067,0.0
21,서천군 서면 마량해역 - 터널형어초 (2017년),jeolla_points.gpx,36.12065,126.44225,1818,서천군 서면 마량해역 - 터널형어초 (2017년),chungnam_points.gpx,36.12065,126.44225,0.0
22,서천군 서면 오력도해역 - 테트라형어초 (2017년),jeolla_points.gpx,36.152117,126.45895,1822,서천군 서면 오력도해역 - 테트라형어초 (2017년),chungnam_points.gpx,36.152117,126.45895,0.0
23,서천군 서면 오력도해역 - 테트라형어초 (2017년),jeolla_points.gpx,36.146033,126.42955,1823,서천군 서면 오력도해역 - 테트라형어초 (2017년),chungnam_points.gpx,36.146033,126.42955,0.0
24,서천군 서면 마량해역 - 정삼각뿔형어초 (2016년),jeolla_points.gpx,36.121033,126.438,1833,서천군 서면 마량해역 - 정삼각뿔형어초 (2016년),chungnam_points.gpx,36.121033,126.438,0.0
25,서천군 서면 마량해역 - 정삼각뿔형어초 (2016년),jeolla_points.gpx,36.121083,126.440217,1834,서천군 서면 마량해역 - 정삼각뿔형어초 (2016년),chungnam_points.gpx,36.121083,126.440217,0.0
26,서천군 서면 오력도해역 - 팔각반구형소형강제어초 (2016년),jeolla_points.gpx,36.161533,126.46655,1835,서천군 서면 오력도해역 - 팔각반구형소형강제어초 (2016년),chungnam_points.gpx,36.161533,126.46655,0.0
27,서천군 서면 오력도해역 - 육각패널H빔어초 (2015년),jeolla_points.gpx,36.121083,126.433617,1851,서천군 서면 오력도해역 - 육각패널H빔어초 (2015년),chungnam_points.gpx,36.121083,126.433617,0.0
28,서천군 서면 오력도해역 - 육각패널H빔어초 (2015년),jeolla_points.gpx,36.121083,126.4358,1852,서천군 서면 오력도해역 - 육각패널H빔어초 (2015년),chungnam_points.gpx,36.121083,126.4358,0.0
29,보령시 오천면 오도해역 - 강제고기굴어초 (2014년),jeolla_points.gpx,36.189033,126.029333,1864,보령시 오천면 오도해역 - 강제고기굴어초 (2014년),chungnam_points.gpx,36.189033,126.029333,0.0
30,보령시 오천면 오도해역 - 강제고기굴어초 (2014년),jeolla_points.gpx,36.188383,126.024617,1865,보령시 오천면 오도해역 - 강제고기굴어초 (2014년),chungnam_points.gpx,36.188383,126.024617,0.0
31,보령시 오천면 오도해역 - 강제고기굴어초 (2014년),jeolla_points.gpx,36.185133,126.029133,1866,보령시 오천면 오도해역 - 강제고기굴어초 (2014년),chungnam_points.gpx,36.185133,126.029133,0.0
32,보령시 오천면 오도해역 - 강제고기굴어초 (2014년),jeolla_points.gpx,36.185433,126.025183,1867,보령시 오천면 오도해역 - 강제고기굴어초 (2014년),chungnam_points.gpx,36.185433,126.025183,0.0
33,서천군 서면 오력도해역 - 이중돔형어초 (2014년),jeolla_points.gpx,36.12095,126.42725,1873,서천군 서면 오력도해역 - 이중돔형어초 (2014년),chungnam_points.gpx,36.12095,126.42725,0.0
34,서천군 서면 오력도해역 - 이중돔형어초 (2014년),jeolla_points.gpx,36.121083,126.429033,1874,서천군 서면 오력도해역 - 이중돔형어초 (2014년),chungnam_points.gpx,36.121083,126.429033,0.0
35,서천군 서면 오력도해역 - 이중돔형어초 (2014년),jeolla_points.gpx,36.121083,126.4316,1875,서천군 서면 오력도해역 - 이중돔형어초 (2014년),chungnam_points.gpx,36.121083,126.4316,0.0
