lat,lon,name,description,comment,time,symbol,source_file
33.579,126.610282,,해양수산부 어초 수심:66m (해도:KR4F4K20),해양수산부 어초 수심:66m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.568281,126.612989,,해양수산부 어초 수심:53m (해도:KR4F4K20),해양수산부 어초 수심:53m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.245056,126.641,,해양수산부 어초 수심:28m (해도:KR4F4K40),해양수산부 어초 수심:28m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.25047,126.642665,,해양수산부 어초 수심:21.5m (해도:KR4F4K40),해양수산부 어초 수심:21.5m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.239903,126.641128,,해양수산부 어초 수심:42m (해도:KR4F4K40),해양수산부 어초 수심:42m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.237306,126.635806,,해양수산부 어초 수심:34m (해도:KR4F4K40),해양수산부 어초 수심:34m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.240228,126.633327,,해양수산부 어초 수심:27.5m (해도:KR4F4K40),해양수산부 어초 수심:27.5m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.267251,126.735792,,해양수산부 어초 (해도:KR4F4K40),해양수산부 어초 (해도:KR4F4K40),,Fish,jeju_points.gpx
33.495221,126.93685,,해양수산부 어초 수심:12m (해도:KR4F4K40),해양수산부 어초 수심:12m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.474127,126.940651,,해양수산부 어초 수심:26m (해도:KR4F4K40),해양수산부 어초 수심:26m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.450282,126.945666,,해양수산부 어초 수심:23m (해도:KR4F4K40),해양수산부 어초 수심:23m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.262082,126.717415,,해양수산부 어초 수심:29m (해도:KR4F4K40),해양수산부 어초 수심:29m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.307108,126.844234,,해양수산부 어초 수심:20m (해도:KR4F4K40),해양수산부 어초 수심:20m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.264645,126.737929,,해양수산부 어초 수심:27.5m (해도:KR4F4K40),해양수산부 어초 수심:27.5m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.266851,126.711357,,해양수산부 어초 수심:23.5m (해도:KR4F4K40),해양수산부 어초 수심:23.5m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.269598,126.741035,,해양수산부 어초 수심:21.5m (해도:KR4F4K40),해양수산부 어초 수심:21.5m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.296298,126.778385,,해양수산부 어초 수심:30m (해도:KR4F4K40),해양수산부 어초 수심:30m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.296928,126.790425,,해양수산부 어초 수심:30m (해도:KR4F4K40),해양수산부 어초 수심:30m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.298581,126.830584,,해양수산부 어초 수심:18.2m (해도:KR4F4K40),해양수산부 어초 수심:18.2m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.297237,126.792163,,해양수산부 어초 수심:25m (해도:KR4F4K40),해양수산부 어초 수심:25m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.288854,126.843708,,해양수산부 어초 수심:30m (해도:KR4F4K40),해양수산부 어초 수심:30m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.351909,126.870558,,해양수산부 어초 수심:8.5m (해도:KR4F4K40),해양수산부 어초 수심:8.5m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.297846,126.800115,,해양수산부 어초 수심:19.6m (해도:KR4F4K40),해양수산부 어초 수심:19.6m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.403172,126.943803,,해양수산부 어초 (해도:KR4F4K40),해양수산부 어초 (해도:KR4F4K40),,Fish,jeju_points.gpx
33.310655,126.847864,,해양수산부 어초 수심:15.6m (해도:KR4F4K40),해양수산부 어초 수심:15.6m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.275861,126.732694,,해양수산부 어초 수심:9.8m (해도:KR4F4K40),해양수산부 어초 수심:9.8m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.489311,126.970284,,해양수산부 어초 수심:17.3m (해도:KR4F4K40),해양수산부 어초 수심:17.3m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.344611,126.880167,,해양수산부 어초 수심:33m (해도:KR4F4K40),해양수산부 어초 수심:33m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.581833,126.666,,해양수산부 어초 (해도:KR4F4K20),해양수산부 어초 (해도:KR4F4K20),,Fish,jeju_points.gpx
33.584972,126.777528,,해양수산부 어초 수심:23m (해도:KR4F4K20),해양수산부 어초 수심:23m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.587194,126.790694,,해양수산부 어초 수심:28.5m (해도:KR4F4K20),해양수산부 어초 수심:28.5m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.504543,126.927222,,해양수산부 어초 수심:17.2m (해도:KR4F4K20),해양수산부 어초 수심:17.2m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.547778,126.834733,,해양수산부 어초 (해도:KR4F4K20),해양수산부 어초 (해도:KR4F4K20),,Fish,jeju_points.gpx
33.573926,126.751016,,해양수산부 어초 수심:20.6m (해도:KR4F4K20),해양수산부 어초 수심:20.6m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.548386,126.895807,,해양수산부 어초 수심:40m (해도:KR4F4K20),해양수산부 어초 수심:40m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.57601,126.660288,,해양수산부 어초 수심:43m (해도:KR4F4K20),해양수산부 어초 수심:43m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.544024,126.907485,,해양수산부 어초 수심:36m (해도:KR4F4K20),해양수산부 어초 수심:36m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.523212,126.532168,,해양수산부 어초 수심:6.2m (해도:KR4F4K20),해양수산부 어초 수심:6.2m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.526361,126.53452,,해양수산부 어초 수심:7.2m (해도:KR4F4K20),해양수산부 어초 수심:7.2m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.521328,126.466395,,해양수산부 어초 수심:44m (해도:KR4F4K10),해양수산부 어초 수심:44m (해도:KR4F4K10),,Fish,jeju_points.gpx
33.238106,126.572583,,해양수산부 어초 수심:18m (해도:KR4F4K40),해양수산부 어초 수심:18m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.241624,126.573032,,해양수산부 어초 수심:9.8m (해도:KR4F4K40),해양수산부 어초 수심:9.8m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.228569,126.566078,,해양수산부 어초 수심:36m (해도:KR4F4K40),해양수산부 어초 수심:36m (해도:KR4F4K40),,Fish,jeju_points.gpx
33.208812,126.409732,,해양수산부 어초 수심:28m (해도:KR4F4K30),해양수산부 어초 수심:28m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.208628,126.495853,,해양수산부 어초 수심:75m (해도:KR4F4K30),해양수산부 어초 수심:75m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.462482,126.301836,,해양수산부 어초 수심:9.6m (해도:KR4F4K30),해양수산부 어초 수심:9.6m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.476569,126.314684,,해양수산부 어초 수심:11.1m (해도:KR4F4K30),해양수산부 어초 수심:11.1m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.373793,126.205236,,해양수산부 어초 수심:2m (해도:KR4F4K30),해양수산부 어초 수심:2m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.386856,126.200725,,해양수산부 어초 수심:27.5m (해도:KR4F4K30),해양수산부 어초 수심:27.5m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.480814,126.348844,,해양수산부 어초 수심:14.1m (해도:KR4F4K30),해양수산부 어초 수심:14.1m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.4771,126.330202,,해양수산부 어초 수심:15m (해도:KR4F4K30),해양수산부 어초 수심:15m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.477447,126.336221,,해양수산부 어초 수심:12.8m (해도:KR4F4K30),해양수산부 어초 수심:12.8m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.458233,126.296431,,해양수산부 어초 수심:15.2m (해도:KR4F4K30),해양수산부 어초 수심:15.2m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.208698,126.364436,,해양수산부 어초 수심:58m (해도:KR4F4K30),해양수산부 어초 수심:58m (해도:KR4F4K30),,Fish,jeju_points.gpx
33.500527,126.368234,,해양수산부 어초 수심:48m (해도:KR4F4K10),해양수산부 어초 수심:48m (해도:KR4F4K10),,Fish,jeju_points.gpx
33.525913,126.424338,,해양수산부 어초 수심:64m (해도:KR4F4K10),해양수산부 어초 수심:64m (해도:KR4F4K10),,Fish,jeju_points.gpx
33.513203,126.420214,,해양수산부 어초 수심:43m (해도:KR4F4K10),해양수산부 어초 수심:43m (해도:KR4F4K10),,Fish,jeju_points.gpx
33.985879,126.934764,,해양수산부 어초 수심:44m (해도:KR4F4K20),해양수산부 어초 수심:44m (해도:KR4F4K20),,Fish,jeju_points.gpx
33.96109,126.296647,,해양수산부 어초 수심:1.9m (해도:KR4F4K10),해양수산부 어초 수심:1.9m (해도:KR4F4K10),,Fish,jeju_points.gpx
33.96989,126.275317,,해양수산부 어초 수심:26m (해도:KR4F4K10),해양수산부 어초 수심:26m (해도:KR4F4K10),,Fish,jeju_points.gpx
33.866143,126.2438,,해양수산부 어초 수심:74m (해도:KR4F4K10),해양수산부 어초 수심:74m (해도:KR4F4K10),,Fish,jeju_points.gpx
