lat,lon,name,description,comment,time,symbol,source_file
36.812666951,126.140397167,,001,,2025-11-15T14:27:30Z,Waypoint,my_own_points.gpx
36.813980269,126.142199842,,002,,2025-11-15T14:58:16Z,Waypoint,my_own_points.gpx
36.814153452,126.140766716,,003,,2025-11-15T15:30:53Z,Waypoint,my_own_points.gpx
36.814081293,126.140631515,,004,,2025-11-15T15:35:58Z,Waypoint,my_own_points.gpx
36.813431853,126.140901916,,005,,2025-11-15T15:46:06Z,Waypoint,my_own_points.gpx
36.823750073,126.152583248,,006,,2025-11-15T18:23:05Z,Waypoint,my_own_points.gpx
36.823699568,126.152646341,,007,,2025-11-15T18:24:11Z,Waypoint,my_own_points.gpx
36.822415277,126.153304318,,008,,2025-11-15T18:33:01Z,Waypoint,my_own_points.gpx
36.822213252,126.154133548,,009,,2025-11-15T20:06:00Z,Waypoint,my_own_points.gpx
36.822198821,126.153962294,,010,,2025-11-15T20:21:50Z,Waypoint,my_own_points.gpx
36.82233591,126.153935254,,011,,2025-11-15T20:53:31Z,Waypoint,my_own_points.gpx
36.814853397,126.141217384,,012,,2025-11-22T14:57:47Z,Waypoint,my_own_points.gpx
36.817234604,126.147229304,,013,,2025-11-22T15:46:54Z,Waypoint,my_own_points.gpx
36.822653377,126.153583732,,014,,2025-11-22T16:11:44Z,Waypoint,my_own_points.gpx
36.822516289,126.153466558,,015,,2025-11-22T17:01:18Z,Waypoint,my_own_points.gpx
36.827747107,126.154764484,,016,,2025-11-22T17:59:32Z,Waypoint,my_own_points.gpx
36.827934689,126.154449016,,017,,2025-11-22T18:10:53Z,Waypoint,my_own_points.gpx
36.829680616,126.154467043,,018,,2025-11-22T18:20:05Z,Waypoint,my_own_points.gpx
36.821982365,126.152303833,,019,,2025-11-22T20:16:12Z,Waypoint,my_own_points.gpx
36.823136791,126.153881173,,020,,2025-11-22T20:44:57Z,Waypoint,my_own_points.gpx
36.823663492,126.153502612,,021,,2025-11-22T21:16:10Z,Waypoint,my_own_points.gpx
37.846630053,128.904501217,,022,,2025-11-29T14:52:31Z,Waypoint,my_own_points.gpx
37.852565778,128.906096584,,023,,2025-11-29T15:35:01Z,Waypoint,my_own_points.gpx
37.863830955,128.911035913,,024,,2025-11-29T16:14:59Z,Waypoint,my_own_points.gpx
37.867018766,128.910513137,,025,,2025-11-29T16:26:57Z,Waypoint,my_own_points.gpx
37.873913358,128.906781601,,026,,2025-11-29T16:57:11Z,Waypoint,my_own_points.gpx
37.874084114,128.906682454,,027,,2025-11-29T16:57:56Z,Waypoint,my_own_points.gpx
37.874468313,128.906430079,,028,,2025-11-29T16:59:48Z,Waypoint,my_own_points.gpx
37.874631952,128.906312905,,029,,2025-11-29T17:00:38Z,Waypoint,my_own_points.gpx
37.876268329,128.9050961,,030,,2025-11-29T17:08:24Z,Waypoint,my_own_points.gpx
37.877363969,128.904519244,,031,,2025-11-29T17:13:13Z,Waypoint,my_own_points.gpx
37.878303077,128.903879295,,032,,2025-11-29T17:17:39Z,Waypoint,my_own_points.gpx
37.878416907,128.903798174,,033,,2025-11-29T17:18:26Z,Waypoint,my_own_points.gpx
37.864997937,128.902914864,,034,,2025-11-29T20:30:50Z,Waypoint,my_own_points.gpx
37.86339689,128.9021307,,035,,2025-11-29T20:43:25Z,Waypoint,my_own_points.gpx
37.861482703,128.902383075,,036,,2025-11-29T21:01:20Z,Waypoint,my_own_points.gpx
37.848202995,128.894703681,,037,,2025-11-29T21:44:33Z,Waypoint,my_own_points.gpx
37.847996593,128.894469333,,038,,2025-11-29T21:44:49Z,Waypoint,my_own_points.gpx
37.846302648,128.892234017,,039,,2025-11-29T21:50:32Z,Waypoint,my_own_points.gpx
37.84471543,128.890530489,,040,,2025-11-29T21:52:37Z,Waypoint,my_own_points.gpx
37.844153134,128.889935607,,041,,2025-11-29T21:53:20Z,Waypoint,my_own_points.gpx
